Problem File,Number of Steps,States Visited,Time
barman_graphplan/p1-02-1-1.pl,11,62,4.487927565
barman_graphplan/p1-02-1-2.pl,11,62,4.619141933
barman_graphplan/p1-02-1-3.pl,11,62,4.689618294
barman_graphplan/p1-02-1-4.pl,11,62,4.518902289
barman_graphplan/p1-02-1-5.pl,11,62,4.520619819
barman_graphplan/p1-02-2-1.pl,10,47,3.278856152
barman_graphplan/p1-02-2-2.pl,10,47,3.370092286
barman_graphplan/p1-02-2-3.pl,10,47,3.25520605
barman_graphplan/p1-02-2-4.pl,10,47,3.294949082
barman_graphplan/p1-02-2-5.pl,10,47,3.325382188
barman_graphplan/p1-03-1-1.pl,11,35,3.460072147
barman_graphplan/p1-03-1-2.pl,11,51,4.464932226
barman_graphplan/p1-03-1-3.pl,11,51,4.444943722
barman_graphplan/p1-03-1-4.pl,11,51,4.463833095
barman_graphplan/p1-03-1-5.pl,11,51,4.437876465
barman_graphplan/p1-03-2-1.pl,10,48,4.663468536
barman_graphplan/p1-03-2-2.pl,10,43,4.287445686
barman_graphplan/p1-03-2-3.pl,10,48,4.664538104
barman_graphplan/p1-03-2-4.pl,10,18,1.449632578
barman_graphplan/p1-03-2-5.pl,10,18,1.445343634
barman_graphplan/p1-04-1-1.pl,11,33,3.986834097
barman_graphplan/p1-04-1-2.pl,11,58,6.158055905
barman_graphplan/p1-04-1-3.pl,11,51,5.604378952
barman_graphplan/p1-04-1-4.pl,11,113,11.920971613
barman_graphplan/p1-04-1-5.pl,11,51,5.534817999
barman_graphplan/p1-04-2-1.pl,10,55,7.620632942
barman_graphplan/p1-04-2-2.pl,10,21,2.648894936
barman_graphplan/p1-04-2-3.pl,10,21,2.597123648
barman_graphplan/p1-04-2-4.pl,10,44,6.008301719
barman_graphplan/p1-04-2-5.pl,10,21,2.55135766
barman_graphplan/p1-05-1-1.pl,11,37,5.066724202
barman_graphplan/p1-05-1-2.pl,11,61,9.701089364
barman_graphplan/p1-05-1-3.pl,11,49,6.01517771
barman_graphplan/p1-05-1-4.pl,11,65,9.244183838
barman_graphplan/p1-05-1-5.pl,11,110,15.894873651
barman_graphplan/p1-05-2-1.pl,10,48,8.56499104
barman_graphplan/p1-05-2-2.pl,10,45,7.96240041
barman_graphplan/p1-05-2-3.pl,10,21,3.040478057
barman_graphplan/p1-05-2-4.pl,10,18,2.423320965
barman_graphplan/p1-05-2-5.pl,10,18,2.380694062
barman_graphplan/p1-06-1-1.pl,11,57,7.757123336
barman_graphplan/p1-06-1-2.pl,11,57,7.959944902
barman_graphplan/p1-06-1-3.pl,11,117,17.499078577
barman_graphplan/p1-06-1-4.pl,11,42,6.208858951
barman_graphplan/p1-06-1-5.pl,11,52,8.372211799
barman_graphplan/p1-06-2-1.pl,10,43,10.410768649
barman_graphplan/p1-06-2-2.pl,10,20,3.544983221
barman_graphplan/p1-06-2-3.pl,10,24,3.936640612
barman_graphplan/p1-06-2-4.pl,10,20,3.507027635
barman_graphplan/p1-06-2-5.pl,10,20,3.469884596
barman_graphplan/p1-07-1-1.pl,11,60,9.442448237
barman_graphplan/p1-07-1-2.pl,11,53,8.477643392
barman_graphplan/p1-07-1-3.pl,11,77,10.702311764
barman_graphplan/p1-07-1-4.pl,11,75,12.927964173
barman_graphplan/p1-07-1-5.pl,11,37,6.679800414
barman_graphplan/p1-07-2-1.pl,10,43,13.654586063
barman_graphplan/p1-07-2-2.pl,10,18,3.870383395
barman_graphplan/p1-07-2-3.pl,10,18,3.743063081
barman_graphplan/p1-07-2-4.pl,10,18,3.742453987
barman_graphplan/p1-07-2-5.pl,10,18,3.740268355
barman_graphplan/p1-08-1-1.pl,11,47,8.543770617
barman_graphplan/p1-08-1-2.pl,11,63,10.919714633
barman_graphplan/p1-08-1-3.pl,11,33,6.915965174
barman_graphplan/p1-08-1-4.pl,11,103,21.91653974
barman_graphplan/p1-08-1-5.pl,11,46,9.377846089
barman_graphplan/p1-08-2-1.pl,10,18,4.752184836
barman_graphplan/p1-08-2-2.pl,10,44,17.063237816
barman_graphplan/p1-08-2-3.pl,10,18,4.68730824
barman_graphplan/p1-08-2-4.pl,10,18,4.631004053
barman_graphplan/p1-08-2-5.pl,10,18,4.722957468
barman_graphplan/p1-09-1-1.pl,11,81,19.48898004
barman_graphplan/p1-09-1-2.pl,11,40,8.758501889
barman_graphplan/p1-09-1-3.pl,11,40,8.841025031
barman_graphplan/p1-09-1-4.pl,11,64,12.371552645
barman_graphplan/p1-09-1-5.pl,11,43,9.592860962
barman_graphplan/p1-09-2-1.pl,10,18,5.611251855
barman_graphplan/p1-09-2-2.pl,10,18,5.739744055
barman_graphplan/p1-09-2-3.pl,10,43,21.005527052
barman_graphplan/p1-09-2-4.pl,10,18,5.669171752
barman_graphplan/p1-09-2-5.pl,10,18,5.613513783
barman_graphplan/p1-10-1-1.pl,11,36,9.485091255
barman_graphplan/p1-10-1-2.pl,11,69,23.850883862
barman_graphplan/p1-10-1-3.pl,11,74,15.153836889
barman_graphplan/p1-10-1-4.pl,11,84,16.042289111
barman_graphplan/p1-10-1-5.pl,11,36,9.288510434
barman_graphplan/p1-10-2-1.pl,10,18,6.840077438
barman_graphplan/p1-10-2-2.pl,10,20,8.153862158
barman_graphplan/p1-10-2-3.pl,10,20,8.298281782
barman_graphplan/p1-10-2-4.pl,10,18,6.854276831
barman_graphplan/p1-10-2-5.pl,10,44,26.597446626
barman_graphplan/p1-11-1-1.pl,11,57,14.501465126
barman_graphplan/p1-11-1-2.pl,11,62,15.358708645
barman_graphplan/p1-11-1-3.pl,11,73,18.715716989
barman_graphplan/p1-11-1-4.pl,11,46,12.256816053
barman_graphplan/p1-11-1-5.pl,11,36,10.846594437
barman_graphplan/p1-11-2-1.pl,10,18,8.148330994
barman_graphplan/p1-11-2-2.pl,10,43,33.498672766
barman_graphplan/p1-11-2-3.pl,10,43,31.216149423
barman_graphplan/p1-11-2-4.pl,10,18,8.093349993
barman_graphplan/p1-11-2-5.pl,10,18,8.375893033
